Login OK: PlayerSessionId - psess-06fa6f48-468e-4eb0-968e-ffbb0524346d
Login OK: PlayerSessionId - psess-474235b1-116b-4377-abce-1f6c4077463e
Login OK: PlayerSessionId - psess-e626f588-8b7e-4356-b375-4519875bd814
Login OK: PlayerSessionId - psess-dc3db36b-9669-4002-9be9-5e864c7e1f26
Login OK: PlayerSessionId - psess-3e9c197b-7629-4129-a245-4be978567bed
Login OK: PlayerSessionId - psess-71706b57-aa62-4b7e-a2f1-24fa78020999
Login OK: PlayerSessionId - psess-65801065-5041-4a53-b9fd-f7b9c2af89a8
Login OK: PlayerSessionId - psess-95829936-47f5-4e7b-8a93-bfaa01e9f92d
Login OK: PlayerSessionId - psess-66792fa4-fa63-4f70-ab5e-150106b4a326
Login OK: PlayerSessionId - psess-d3aee109-a425-4ed4-88ca-fd329286562f
Login OK: PlayerSessionId - psess-16add291-aee8-4a8c-a5a7-e6e3f6f75cc3
Login OK: PlayerSessionId - psess-d665811a-914e-4346-9bf2-ff545e9ce33c
Login OK: PlayerSessionId - psess-ef800f0f-0219-4601-a914-0dff694aa46e
Login OK: PlayerSessionId - psess-45b2d048-ba21-42e5-8f9f-18b7485a2f5f
Login OK: PlayerSessionId - psess-6fbc59b5-5048-4544-aa32-e1c257c0340c
Login OK: PlayerSessionId - psess-1307ce1e-bfd6-4c00-ac30-0eda0abc5591
Login OK: PlayerSessionId - psess-62ab5e8c-3384-49f1-8640-959d748df8fd
Login OK: PlayerSessionId - psess-f97474c9-918c-4aea-8b44-bed8abf826f4
Login OK: PlayerSessionId - psess-91a60f86-be5f-4b75-93ed-1d97589bdead
Login OK: PlayerSessionId - psess-7162c883-c4ce-4b25-8675-1ce46c6c4871
Login OK: PlayerSessionId - psess-2a124d6e-f1f9-4512-892e-4b8ed28a9c4e
Login OK: PlayerSessionId - psess-0557d939-76a6-46e3-ba05-6adf577a6f9f
Login OK: PlayerSessionId - psess-b9ad2e5c-2e5e-4c84-9691-eb4cf7177281
Login OK: PlayerSessionId - psess-fcf087fd-67bb-4a6b-a33f-02686f8e71f2
Login OK: PlayerSessionId - psess-9d5e8481-30ff-458b-b2c3-7c0ef1cd5805
Login OK: PlayerSessionId - psess-c373dff5-c97e-4972-a6d5-5cc107015d87
Login OK: PlayerSessionId - psess-0a575e58-cd7a-4d77-9ecc-00a419283692
Login OK: PlayerSessionId - psess-d84dc163-f215-43ed-a468-d4485bd9b401
Login OK: PlayerSessionId - psess-bb2feb14-e97c-45c3-bce2-c889f5519996
Login OK: PlayerSessionId - psess-92acfd67-fd49-4704-ac5a-7c4780474adc
Login OK: PlayerSessionId - psess-071f16dd-a9f5-40dc-a39c-65829cab9b18
Login OK: PlayerSessionId - psess-9f5f113f-104f-425b-b49d-1c0c88cfa924
Login OK: PlayerSessionId - psess-ef6f42bc-5776-4d98-82d0-6c42eb8359b2
Login OK: PlayerSessionId - psess-47979b84-daf2-4428-9fc0-5908d4dd9bd4
Login OK: PlayerSessionId - psess-1365b191-db88-4702-8d47-5fc0b0386f2d
Login OK: PlayerSessionId - psess-3f9bae6b-32af-4c2c-9f09-4e0b35efa3dc
Login OK: PlayerSessionId - psess-296615a5-5b25-45cc-89fa-7f8738eec072
Login OK: PlayerSessionId - psess-4c0a51bc-4a7a-40cb-ae17-31b9dcbd85bb
Login OK: PlayerSessionId - psess-c35cb3ca-2c7e-4b9b-b1ba-c674ca6c41eb
Login OK: PlayerSessionId - psess-e5b96747-7ef1-45bc-ae38-b6a215aef5e3
Login OK: PlayerSessionId - psess-9050bf59-0dca-4c77-9934-9eff9f75bd8c
Login OK: PlayerSessionId - psess-49686c44-238d-461f-9666-de2114616c5d
Login OK: PlayerSessionId - psess-ff35bab1-6aed-4d8b-911f-0ac12732bcaa
Login OK: PlayerSessionId - psess-1e3fd963-f638-4645-a4e8-970d522d5d1e
Login OK: PlayerSessionId - psess-212a7245-9b6c-4821-ba51-3a5a18e975af
Login OK: PlayerSessionId - psess-d9064807-69a2-4626-ba16-40e430c18b58
Login OK: PlayerSessionId - psess-b98c9558-9c80-4984-a923-d157b80e37cc
Login OK: PlayerSessionId - psess-87bf2c27-2cd9-4950-8c5d-e1f60bc5643d
psess-06fa6f48-468e-4eb0-968e-ffbb0524346d requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=41198 
psess-474235b1-116b-4377-abce-1f6c4077463e requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=41198 
psess-e626f588-8b7e-4356-b375-4519875bd814 requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=41198 
psess-dc3db36b-9669-4002-9be9-5e864c7e1f26 requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=41198 
psess-3e9c197b-7629-4129-a245-4be978567bed requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=41198 
psess-71706b57-aa62-4b7e-a2f1-24fa78020999 requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=41198 
psess-65801065-5041-4a53-b9fd-f7b9c2af89a8 requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=35340 
psess-95829936-47f5-4e7b-8a93-bfaa01e9f92d requested to end a test
psess-66792fa4-fa63-4f70-ab5e-150106b4a326 requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=41198 
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=35340 
psess-d3aee109-a425-4ed4-88ca-fd329286562f requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=35340 
psess-16add291-aee8-4a8c-a5a7-e6e3f6f75cc3 requested to end a test
psess-d665811a-914e-4346-9bf2-ff545e9ce33c requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=35340 
psess-ef800f0f-0219-4601-a914-0dff694aa46e requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=35340 
psess-45b2d048-ba21-42e5-8f9f-18b7485a2f5f requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=35340 
psess-6fbc59b5-5048-4544-aa32-e1c257c0340c requested to end a test
psess-1307ce1e-bfd6-4c00-ac30-0eda0abc5591 requested to end a test
psess-62ab5e8c-3384-49f1-8640-959d748df8fd requested to end a test
psess-f97474c9-918c-4aea-8b44-bed8abf826f4 requested to end a test
psess-91a60f86-be5f-4b75-93ed-1d97589bdead requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=38943 
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=35340 
psess-7162c883-c4ce-4b25-8675-1ce46c6c4871 requested to end a test
psess-2a124d6e-f1f9-4512-892e-4b8ed28a9c4e requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=38943 
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=41198 
psess-0557d939-76a6-46e3-ba05-6adf577a6f9f requested to end a test
psess-b9ad2e5c-2e5e-4c84-9691-eb4cf7177281 requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=38943 
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=38943 
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=38943 
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=38943 
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=38943 
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=35340 
psess-fcf087fd-67bb-4a6b-a33f-02686f8e71f2 requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=38943 
psess-9d5e8481-30ff-458b-b2c3-7c0ef1cd5805 requested to end a test
psess-c373dff5-c97e-4972-a6d5-5cc107015d87 requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=39455 
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=39455 
psess-0a575e58-cd7a-4d77-9ecc-00a419283692 requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=39455 
psess-d84dc163-f215-43ed-a468-d4485bd9b401 requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=39455 
psess-bb2feb14-e97c-45c3-bce2-c889f5519996 requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=39455 
psess-92acfd67-fd49-4704-ac5a-7c4780474adc requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=39455 
psess-071f16dd-a9f5-40dc-a39c-65829cab9b18 requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=44670 
psess-9f5f113f-104f-425b-b49d-1c0c88cfa924 requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=44670 
psess-ef6f42bc-5776-4d98-82d0-6c42eb8359b2 requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=44670 
psess-47979b84-daf2-4428-9fc0-5908d4dd9bd4 requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=44670 
psess-1365b191-db88-4702-8d47-5fc0b0386f2d requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=39455 
psess-3f9bae6b-32af-4c2c-9f09-4e0b35efa3dc requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=44670 
psess-4c0a51bc-4a7a-40cb-ae17-31b9dcbd85bb requested to end a test
psess-296615a5-5b25-45cc-89fa-7f8738eec072 requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=44670 
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=39455 
psess-c35cb3ca-2c7e-4b9b-b1ba-c674ca6c41eb requested to end a test
psess-e5b96747-7ef1-45bc-ae38-b6a215aef5e3 requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=44670 
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=44670 
psess-9050bf59-0dca-4c77-9934-9eff9f75bd8c requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=43760 
psess-49686c44-238d-461f-9666-de2114616c5d requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=43760 
psess-ff35bab1-6aed-4d8b-911f-0ac12732bcaa requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=43760 
psess-1e3fd963-f638-4645-a4e8-970d522d5d1e requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=43760 
psess-212a7245-9b6c-4821-ba51-3a5a18e975af requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=43760 
psess-d9064807-69a2-4626-ba16-40e430c18b58 requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=43760 
psess-b98c9558-9c80-4984-a923-d157b80e37cc requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=43760 
psess-87bf2c27-2cd9-4950-8c5d-e1f60bc5643d requested to end a test
[DEBUG] Client Disconnected: Reason=3 IP=52.192.30.205, PORT=43760 
